processor_id,manufacturer_id,processor_family_id,microarchitecture_id,code_name_id,technology_id,cache_on_id,cache_off_id,die_photo_id,model,date,clock,max_clock,hw_nthreadspercore,hw_ncores,tdp,source,bus_width,transistors,die_size,vdd_low,vdd_high
1,1,1,,,10,1,1,,Am386DX,,40.0,,1,1,,Horowitz spreadsheet,32,,,,
2,1,2,,1,9,2,1,,Am486,1993-03-01,40.0,,1,1,3.0,Horowitz spreadsheet,32,0.93,89,5.0,5.0
3,1,3,77,2,5,3,1,,550,,550.0,,1,1,,http://www.spec.org/cpu95/results/res99q3/cpu95-19990711-03744.html,,,,,
4,1,3,77,2,5,3,1,,600,1999-11-29,600.0,,1,1,,http://www.spec.org/cpu95/results/res99q3/cpu95-19990711-03746.html,,,,,
5,1,3,77,2,5,3,1,,650,,650.0,,1,1,,http://www.spec.org/cpu95/results/res99q3/cpu95-19990914-03866.html,,,,,
6,1,3,77,2,5,3,1,,750,1999-11-01,750.0,,1,1,,http://www.spec.org/cpu95/results/res99q4/cpu95-19991206-03938.html,,22.0,102,1.8,1.8
7,1,3,77,2,5,3,1,,800,,800.0,,1,1,,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000229-04083.html,,,,,
8,1,3,77,2,5,3,1,,850,,850.0,,1,1,,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000229-04084.html,,,,,
9,1,3,77,2,5,3,1,,900,,900.0,,1,1,,http://www.spec.org/cpu95/results/res2000q2/cpu95-20000328-04179.html,,,,,
10,1,3,77,3,5,4,1,,1000,2000-05-01,1000.0,,1,1,49.0,http://www.spec.org/cpu2000/results/res2001q1/cpu2000-20010214-00461.html,32,37.0,120,1.8,1.8
11,1,3,77,3,5,4,1,,1100,,1100.0,,1,1,,http://www.spec.org/cpu2000/results/res2000q3/cpu2000-20000814-00180.html,,,,,
12,1,3,77,3,5,4,1,,1200,,1200.0,,1,1,,http://www.spec.org/cpu2000/results/res2000q4/cpu2000-20001204-00426.html,,,,,
13,1,3,77,3,5,4,1,,1300,,1300.0,,1,1,,http://www.spec.org/cpu2000/results/res2001q1/cpu2000-20010311-00523.html,,,,,
14,1,3,77,3,5,4,1,,1333,,1333.0,,1,1,,http://www.spec.org/cpu2000/results/res2001q1/cpu2000-20010311-00525.html,,,,,
15,1,3,77,3,5,4,1,,1400,2001-06-01,1400.0,,1,1,56.0,http://www.spec.org/cpu2000/results/res2001q2/cpu2000-20010519-00650.html,,,120,1.8,1.8
16,1,4,7,,3,3,1,,2100+,,1200.0,,1,1,,http://www.spec.org/cpu2006/results/res2008q1/cpu2006-20080102-02943.html,,,,,
17,1,4,7,4,4,3,1,,3000+,,2000.0,,1,1,89.0,http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=129&f1=AMD+Athlon%E2%84%A2&f2=3000+&f3=2000&f4=512&f5=754&f6=CG&f7=130nm+SOI&f8=89+W&f9=1600&f10=False&f11=False&f12=False,64,,,1.5,1.5
18,1,4,7,4,4,5,1,,3200+,,2000.0,,1,1,,http://www.spec.org/cpu2000/results/res2003q3/cpu2000-20030908-02471.html,,,,,
19,1,4,7,4,4,5,1,,3500+,,2600.0,,1,1,,http://www.spec.org/cpu2000/results/res2006q4/cpu2000-20060918-07371.html,,,,,
20,1,4,7,5,4,5,1,,FX-51,,2200.0,,1,1,,http://www.spec.org/cpu2000/results/res2003q3/cpu2000-20030908-02472.html,,,,,
21,1,4,7,5,4,5,1,,FX-53,,2400.0,,1,1,,http://www.spec.org/cpu2000/results/res2004q3/cpu2000-20040905-03374.html,,,,,
22,1,4,7,4,4,5,1,,FX-55,2004-06-01,2600.0,,1,1,89.0,Horowitz spreadsheet,,105.9,193,1.5,1.5
23,1,4,7,6,3,5,1,,FX-57,2005-06-01,2800.0,,1,1,104.0,Horowitz spreadsheet,,114.0,115,1.4,1.4
24,1,4,7,7,3,6,1,,FX-60,2006-01-01,2600.0,,1,2,110.0,spec website,64,233.0,199,1.3,1.35
25,1,4,7,8,3,6,1,,FX-62,2006-07-01,2800.0,,1,2,125.0,spec website,64,243.0,220,1.35,1.35
26,1,5,7,9,3,7,1,,4200+,2005-05-31,2200.0,,1,2,,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060725-06864.html,,,,,
27,1,5,7,10,2,7,1,,5000+,2006-06-01,2600.0,,1,2,65.0,Horowitz spreadsheet,64,154.0,126,1.25,1.25
28,1,5,7,10,2,7,1,,6000+,2007-02-01,3100.0,,1,2,125.0,spec website,64,227.0,220,1.3,1.35
29,1,5,7,10,2,6,1,,6400+,2007-08-01,3200.0,,1,2,125.0,spec website,64,227.0,230,1.35,1.4
30,1,5,7,11,2,7,1,,TK-42,2007-08-20,1600.0,,1,2,20.0,http://www.cpu-world.com/CPUs/K8/AMD-Athlon%2064%20X2%203000%2B%20-%20ADE3000HAX5DC.html,,,,1.075,1.125
31,1,5,,12,2,7,1,,QL-65,2008-10-01,2100.0,,1,2,35.0,http://products.amd.com/en-us/NotebookCPUDetail.aspx?id=529&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=,64,,,0.95,1.1
32,1,6,,13,1,7,1,,635,,2900.0,,1,4,95.0,http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=625,64,,,0.85,1.25
33,1,7,6,14,5,4,1,,1200,,1200.0,,1,1,,http://www.spec.org/cpu2000/results/res2001q2/cpu2000-20010519-00651.html,,,,,
34,1,7,6,14,5,4,1,,1500+,,1333.0,,1,1,,http://www.spec.org/cpu2000/results/res2001q4/cpu2000-20011008-01026.html,,,,,
35,1,7,6,14,5,4,1,,1600+,,1400.0,,1,1,,http://www.spec.org/cpu2000/results/res2001q4/cpu2000-20011008-01028.html,,,,,
36,1,7,6,14,5,4,1,,1800+,,1533.0,,1,1,,http://www.spec.org/cpu2000/results/res2001q4/cpu2000-20011008-01011.html,,,,,
37,1,7,6,14,5,4,1,,2000+,,1667.0,,1,1,,http://www.spec.org/cpu2000/results/res2002q1/cpu2000-20020311-01270.html,,,,,
38,1,7,6,14,5,4,1,,2100+,,1733.0,,1,1,,http://www.spec.org/cpu2000/results/res2002q2/cpu2000-20020603-01397.html,,,,,
39,1,7,6,15,4,4,1,,2200+,,1800.0,,1,1,,http://www.spec.org/cpu2000/results/res2002q3/cpu2000-20020812-01546.html,,,,,
40,1,7,6,15,4,4,1,,2400+,,2000.0,,1,1,,http://www.spec.org/cpu2000/results/res2002q4/cpu2000-20021118-01838.html,,,,,
41,1,7,6,15,4,4,1,,2600+,,2133.0,,1,1,,http://www.spec.org/cpu2000/results/res2003q1/cpu2000-20030210-01945.html,,,,,
42,1,8,7,16,2,8,1,,7550,2008-12-01,2500.0,,1,2,95.0,spec website,64,450.0,285,1.05,1.325
43,1,8,7,16,2,8,1,,7750,,2700.0,,1,2,95.0,spec website,64,463.0,285,,
44,1,9,6,14,5,4,1,,1500+,,1333.0,,1,1,,http://www.spec.org/cpu2000/results/res2001q4/cpu2000-20011008-01018.html,,,,,
45,1,9,6,14,5,4,1,,1600+,,1400.0,,1,1,,http://www.spec.org/cpu2000/results/res2001q4/cpu2000-20011008-01020.html,,,,,
46,1,9,6,14,5,4,1,,1700+,,1466.0,,1,1,,http://www.spec.org/cpu2000/results/res2001q4/cpu2000-20011008-01007.html,,,,,
47,1,9,6,14,5,4,1,,1800+,,1533.0,,1,1,,http://www.spec.org/cpu2000/results/res2001q4/cpu2000-20011008-01009.html,,,,,
48,1,9,6,14,5,4,1,,1900+,,1600.0,,1,1,,http://www.spec.org/cpu2000/results/res2001q4/cpu2000-20011022-01057.html,,,,,
49,1,9,6,14,5,4,1,,2000+,,1667.0,,1,1,,http://www.spec.org/cpu2000/results/res2002q1/cpu2000-20020114-01202.html,,,,,
50,1,9,6,14,5,4,1,,2100+,,1733.0,,1,1,,http://www.spec.org/cpu2000/results/res2002q2/cpu2000-20020422-01326.html,,,,,
51,1,9,6,15,4,4,1,,2200+,2002-06-01,1800.0,,1,1,62.0,http://www.spec.org/cpu2000/results/res2002q3/cpu2000-20020701-01441.html,,37.2,85,1.5,1.5
52,1,9,6,15,4,4,1,,2400+,,2000.0,,1,1,,http://www.spec.org/cpu2000/results/res2002q3/cpu2000-20020812-01548.html,,,,,
53,1,9,6,15,4,4,1,,2600+,,2133.0,,1,1,,http://www.spec.org/cpu2000/results/res2002q3/cpu2000-20020812-01551.html,,,,,
54,1,9,6,15,4,4,1,,2700+,,2166.0,,1,1,,http://www.spec.org/cpu2000/results/res2002q4/cpu2000-20020923-01689.html,,,,,
55,1,9,6,15,4,4,1,,2800+,,2250.0,,1,1,,http://www.spec.org/cpu2000/results/res2002q4/cpu2000-20020923-01691.html,,,,,
56,1,9,6,17,4,3,1,,3000+,2003-02-01,2167.0,,1,1,74.3,Horowitz spreadsheet,,54.3,101,1.5,1.5
57,1,9,6,17,4,3,1,,3200+,,2200.0,,1,1,,http://www.spec.org/cpu2000/results/res2003q2/cpu2000-20030505-02154.html,,,,,
58,1,10,2,18,9,9,1,1,,1996-03-27,75.0,,1,1,,Horowitz spreadsheet,32,4.3,251,3.52,3.52
59,1,10,2,18,9,9,1,1,,1996-03-27,90.0,,1,1,11.0,Horowitz spreadsheet,32,4.3,251,3.52,3.52
60,1,11,3,19,8,10,1,2,,1997-04-01,233.0,,1,1,17.0,Horowitz spreadsheet,32,8.8,157,3.2,3.3
61,1,11,3,20,6,10,1,,,1998-04-01,300.0,,1,1,9.5,Horowitz spreadsheet,32,8.8,68,2.2,2.2
62,1,12,4,21,6,10,1,3,,1998-05-01,333.0,,1,1,11.4,Horowitz spreadsheet,32,9.3,81,2.4,2.4
63,1,12,4,22,6,10,1,,,1998-11-01,400.0,,1,1,13.6,Horowitz spreadsheet,32,,81,2.4,2.4
64,1,12,4,22,6,10,1,,,1998-11-01,500.0,,1,1,,Horowitz spreadsheet,32,,,,
65,1,13,5,23,7,11,1,4,,1999-02-01,450.0,,1,1,17.1,Horowitz spreadsheet,32,21.3,135,2.4,2.4
66,1,14,,5,4,5,1,,140,,1400.0,,1,1,,http://www.spec.org/cpu2000/results/res2003q2/cpu2000-20030421-02103.html,,,,,
67,1,14,,5,4,5,1,,142,,1600.0,,1,1,,http://www.spec.org/cpu2000/results/res2003q2/cpu2000-20030421-02102.html,,,,,
68,1,14,7,5,4,5,1,,144,2003-04-01,1800.0,,1,1,89.0,Horowitz spreadsheet,64,105.9,193,1.55,1.55
69,1,14,7,5,4,5,1,,146,2003-09-01,2000.0,,1,1,89.0,spec website,64,106.0,193,1.4,1.5
70,1,14,,5,4,5,1,,148,,2200.0,,1,1,,http://www.spec.org/cpu2000/results/res2003q4/cpu2000-20031117-02626.html,,,,,
71,1,14,,5,4,5,1,,150,,2400.0,,1,1,,http://www.spec.org/cpu2000/results/res2004q2/cpu2000-20040503-02999.html,,,,,
72,1,14,,24,3,5,1,,152,,2600.0,,1,1,,http://www.spec.org/cpu2000/results/res2005q3/cpu2000-20050725-04400.html,,,,,
73,1,14,,24,3,5,1,,154,,2800.0,,1,1,,http://www.spec.org/cpu2000/results/res2005q3/cpu2000-20050819-04517.html,,,,,
74,1,14,7,24,3,5,1,,156,,3000.0,,1,1,,spec website,,,,,
75,1,14,,25,3,5,1,,185,,2600.0,,1,1,,http://www.spec.org/cpu2000/results/res2006q1/cpu2000-20060220-05629.html,,,,,
76,1,14,,5,4,5,1,,246,,2000.0,,1,1,,http://www.spec.org/cpu2000/results/res2005q4/cpu2000-20051031-05010.html,,,,,
77,1,14,,5,4,5,1,,248,,2200.0,,1,1,,http://www.spec.org/cpu2000/results/res2003q4/cpu2000-20031201-02672.html,,,,,
78,1,14,,5,4,5,1,,250,,2400.0,,1,1,,http://www.spec.org/cpu2000/results/res2006q2/cpu2000-20060418-05875.html,,,,,
79,1,14,,26,3,5,1,,252,,2600.0,,1,1,,http://www.spec.org/cpu2000/results/res2005q3/cpu2000-20050724-04391.html,,,,,
80,1,14,7,26,3,5,1,,254,,2800.0,,1,1,92.6,spec website,64,106.0,115,1.35,1.4
81,1,14,7,26,3,5,1,,256,,3000.0,,1,1,92.6,spec website,64,106.0,115,1.35,1.4
82,1,14,,27,3,6,1,,265,,1800.0,,1,2,,http://www.spec.org/cpu2000/results/res2006q2/cpu2000-20060401-05815.html,,,,,
83,1,14,,27,3,6,1,,275,,2200.0,,1,2,,http://www.spec.org/cpu2000/results/res2005q3/cpu2000-20050711-04360.html,,,,,
84,1,14,,27,3,6,1,,280,,2400.0,,1,2,,http://www.spec.org/cpu2000/results/res2006q1/cpu2000-20060120-05402.html,,,,,
85,1,14,,27,3,6,1,,285,,2600.0,,1,2,,http://www.spec.org/cpu2000/results/res2006q1/cpu2000-20060306-05682.html,,,,,
86,1,14,,5,4,6,1,,850,,2400.0,,1,2,,http://www.spec.org/cpu2000/results/res2004q3/cpu2000-20040905-03382.html,,,,,
87,1,14,,28,3,6,1,,852,,2600.0,,1,2,,http://www.spec.org/cpu2000/results/res2005q1/cpu2000-20050211-03843.html,,,,,
88,1,14,,28,3,6,1,,854,,2800.0,,1,2,,http://www.spec.org/cpu2000/results/res2005q3/cpu2000-20050902-04620.html,,,,,
89,1,14,,28,3,6,1,,856,,3000.0,,1,2,,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060710-06477.html,,,,,
90,1,14,,29,3,6,1,,880,,2400.0,,1,2,,http://www.spec.org/cpu2000/results/res2005q3/cpu2000-20050902-04633.html,,,,,
91,1,14,,29,3,6,1,,885,,2600.0,,1,2,,http://www.spec.org/cpu2000/results/res2006q1/cpu2000-20060306-05708.html,,,,,
92,1,14,7,29,3,6,1,,890,,2800.0,,1,2,95.0,spec website,64,233.0,199,1.3,1.35
93,1,14,,30,3,6,1,,1210,,1800.0,,1,2,,http://www.spec.org/cpu2000/results/res2006q4/cpu2000-20060918-07354.html,,,,,
94,1,14,,30,3,6,1,,1212,,2000.0,,1,2,,http://www.spec.org/cpu2000/results/res2006q4/cpu2000-20060918-07365.html,,,,,
95,1,14,,30,3,6,1,,1214,,2200.0,,1,2,,http://www.spec.org/cpu2000/results/res2006q4/cpu2000-20060918-07361.html,,,,,
96,1,14,,30,3,6,1,,1216,,2400.0,,1,2,,http://www.spec.org/cpu2000/results/res2006q4/cpu2000-20060918-07357.html,,,,,
97,1,14,7,30,3,6,1,,1218,2006-08-01,2600.0,,1,2,103.0,Horowitz spreadsheet,64,227.4,230,1.3,1.35
98,1,14,,30,3,6,1,,1220,,2800.0,,1,2,,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060815-07001.html,,,,,
99,1,14,7,31,2,8,1,,1352,2008-04-01,2100.0,,1,4,95.0,Horowitz spreadsheet,64,463.0,,,1.2
100,1,14,7,31,2,8,1,,1354,2008-04-01,2200.0,,1,4,95.0,Horowitz spreadsheet,64,463.0,,,1.2
101,1,14,7,31,2,8,1,,1356,2008-04-01,2300.0,,1,4,95.0,Horowitz spreadsheet,64,463.0,,,1.2
102,1,14,7,32,3,6,1,,2210,2006-08-01,1800.0,,1,2,95.0,Horowitz spreadsheet,64,227.4,230,1.3,1.35
103,1,14,7,32,3,6,1,,2212,2006-08-01,2000.0,,1,2,95.0,Horowitz spreadsheet,64,227.4,230,1.3,1.35
104,1,14,7,32,3,6,1,,2214,2006-08-01,2200.0,,1,2,95.0,Horowitz spreadsheet,64,227.4,230,1.3,1.35
105,1,14,7,32,3,6,1,,2216,2006-08-01,2400.0,,1,2,95.0,Horowitz spreadsheet,64,227.4,230,1.3,1.35
106,1,14,7,32,3,6,1,,2218,2006-08-01,2600.0,,1,2,95.0,Horowitz spreadsheet,64,227.4,230,1.3,1.35
107,1,14,7,32,3,6,1,,2220,2007-02-01,2800.0,,1,2,95.0,spec website,64,227.4,230,1.3,1.35
108,1,14,7,32,3,6,1,,2222,2007-08-01,3000.0,,1,2,95.0,spec website,64,227.4,230,1.3,1.35
109,1,14,7,33,2,8,1,,2350,2007-09-01,2000.0,,1,4,95.0,Horowitz spreadsheet,64,463.0,285,,1.2
110,1,14,7,33,2,8,1,,2356,2008-04-01,2300.0,,1,4,95.0,Horowitz spreadsheet,64,463.0,285,,1.2
111,1,14,7,34,1,12,1,,2384,2008-11-01,2700.0,,1,4,115.0,spec website,64,,,,1.35
112,1,14,7,34,1,12,1,,2389,2009-04-01,2900.0,,1,4,115.0,Horowitz spreadsheet,64,,,,1.325
113,1,14,7,35,1,12,1,,2435,2009-06-01,2600.0,,1,6,115.0,spec website,64,904.0,346,,1.3
114,1,14,7,32,3,6,1,,8220,2007-02-01,2800.0,,1,2,120.0,Horowitz spreadsheet,64,243.0,220,1.375,1.375
115,1,14,7,32,3,6,1,,8222,2007-08-05,3000.0,,1,2,120.0,Horowitz spreadsheet,64,243.0,220,1.375,1.375
116,1,14,7,33,2,8,1,,8350,2007-09-10,2000.0,,1,4,75.0,Horowitz spreadsheet,64,463.0,285,1.2,1.2
117,1,14,7,5,4,6,1,,140 EE,,1400.0,,1,1,,http://www.spec.org/cpu2000/results/res2004q1/cpu2000-20040209-02852.html,,,,,
118,1,14,7,5,4,6,1,,146 HE,,2000.0,,1,1,,http://www.spec.org/cpu2000/results/res2004q1/cpu2000-20040209-02854.html,,,,,
119,1,14,7,32,3,6,1,,2220-SE,2006-08-01,2800.0,,1,2,119.0,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060721-06574.html,64,,,1.325,1.375
120,1,14,7,32,3,6,1,,2222-SE,2007-04-01,3000.0,,1,2,119.0,spec website,64,,,1.325,1.375
121,1,14,7,33,2,8,1,,2360-SE,2008-04-01,2500.0,,1,4,119.0,Horowitz spreadsheet,64,463.0,285,,
122,1,14,7,35,1,12,1,,2439-SE,2009-07-01,2800.0,,1,6,137.0,Horowitz spreadsheet,64,,,,1.3
123,1,15,1,36,1,12,1,,710,2009-02-01,2600.0,,1,3,95.0,spec website,64,758.0,258,0.875,1.425
124,1,15,1,36,1,12,1,,720,2009-02-01,2800.0,,1,3,95.0,spec website,64,758.0,258,0.875,1.425
125,1,16,1,37,1,13,1,,805,2009-02-01,2500.0,,1,4,95.0,spec website,64,758.0,258,0.875,1.425
126,1,16,1,37,1,13,1,,810,2009-02-01,2600.0,,1,4,95.0,merged,64,758.0,258,0.875,1.425
127,1,16,1,37,1,12,1,,910,2009-02-01,2600.0,,1,4,95.0,merged,64,758.0,258,0.875,1.425
128,1,16,1,37,1,12,1,,920,2009-01-01,2800.0,,1,4,125.0,spec website,64,758.0,258,0.875,1.425
129,1,16,1,37,1,12,1,,925,2009-05-01,2800.0,,1,4,95.0,spec website,64,758.0,258,0.85,1.425
130,1,16,1,37,1,12,1,,940,2009-01-01,3000.0,,1,4,125.0,spec website,64,758.0,258,0.875,1.425
131,1,16,1,37,1,12,1,,955,2009-08-01,3200.0,,1,4,125.0,spec website,64,758.0,258,0.85,1.4
132,1,17,1,38,2,8,1,,8750,2008-04-01,2400.0,,1,3,95.0,spec website,64,463.0,283,1.2,1.25
133,1,18,1,39,2,8,1,,9750,2008-03-27,2400.0,,1,4,95.0,http://products.amd.com/en-gb/desktopcpudetail.aspx?id=401,64,463.0,285,1.15,1.25
134,1,18,1,39,2,8,1,,9850,2008-07-01,2500.0,,1,4,125.0,merged,64,463.0,283,1.2,1.3
135,1,18,1,39,2,8,1,,9950,2008-07-01,2600.0,,1,4,140.0,merged,64,463.0,283,1.25,1.3
136,1,18,1,39,2,8,1,,9350e,2008-07-01,2000.0,,1,4,65.0,merged,64,463.0,283,1.075,1.125
137,1,19,7,40,3,6,1,,MT-40,2005-08-01,2200.0,,1,1,25.0,Horowitz spreadsheet,64,114.0,125,1.2,1.2
138,1,20,7,41,3,7,1,,TL-56,,1800.0,,1,2,,spec website,,,,,
139,1,20,7,11,2,7,1,,TL-60,2007-06-01,2000.0,,1,2,31.0,merged,64,153.8,126,1.125,1.125
140,20,21,,42,,10,1,,BRCM 5000,,1300.0,,2,,,www.broadcom.com/docs/articles/MPR_11-22-10.pdf,32,,1,,
141,2,22,,,13,1,1,,CY7C601,1990-06-01,40.0,,1,1,3.0,Horowitz spreadsheet,32,0.08,64,5.0,5.0
142,21,23,,,93,2,1,,,1993-01-01,100.0,,1,1,,Horowitz spreadsheet,32,1.1,196,5.0,5.0
143,21,24,,,93,14,1,,,1992-01-01,33.0,,1,1,,Horowitz spreadsheet,32,0.6,108,5.0,5.0
144,21,25,,,93,15,1,,,1995-06-01,120.0,,1,1,3.0,Horowitz spreadsheet,32,2.0,144,3.3,3.3
145,21,26,,43,43,15,1,5,,1996-02-01,120.0,,1,1,12.0,http://www.sandpile.org/impl/m1.htm,32,3.0,210,3.3,3.3
146,21,26,,44,41,16,1,6,,1997-05-01,188.0,,1,1,13.0,Horowitz spreadsheet,32,6.5,197,2.9,2.9
147,21,27,,45,109,17,1,,,2000-02-01,450.0,,1,1,16.0,http://sandpile.org/impl/m2c3.htm,32,22.0,76,2.2,2.2
148,3,28,8,46,14,18,19,7,,1992-10-01,100.0,,1,1,30.0,http://www.spec.org/cpu95/results/res9509/p019.html,64,1.68,234,3.3,3.3
149,3,28,8,46,14,18,20,7,,1992-10-01,125.0,,1,1,30.0,http://performance.netlib.org/performance/html/spec.dec300lx.cint92.6_94.notes.html#{Digital Equipment Corporation DEC 3000 Model 300LX 125MHz 21064},64,1.68,234,3.3,3.3
150,3,28,8,46,14,18,19,7,,1992-10-01,150.0,,1,1,30.0,http://www.spec.org/cpu95/results/res9509/p015.html,64,1.68,234,3.3,3.3
151,3,28,8,46,14,18,1,7,,1992-10-01,166.0,,1,1,30.0,http://www.spec.org/cpu95/results/res9509/p020.html,64,1.68,234,3.3,3.3
152,3,28,8,46,14,18,20,7,,1992-10-01,175.0,,1,1,30.0,http://performance.netlib.org/performance/html/spec.dec300x.cint92.6_94.notes.html#{Digital Equipment Corporation DEC 3000 Model 300X 175MHz 21064},64,1.68,234,3.3,3.3
153,3,28,8,46,14,18,21,7,,1992-10-01,190.0,,1,1,30.0,http://performance.netlib.org/performance/html/spec.dec42003.cint92.12_94.notes.html#{Digital Equipment Corporation AlphaServer 2100 4/200 190Mhz 21064},64,1.68,234,3.3,3.3
154,3,28,8,46,14,18,1,7,,1992-10-01,200.0,,1,1,30.0,Horowitz spreadsheet,64,1.68,234,3.3,3.3
155,3,29,,47,16,22,23,8,,1994-06-01,225.0,,1,1,33.0,http://www.spec.org/cpu95/results/res9509/p016.html,64,2.85,164,3.3,3.3
156,3,29,,47,16,22,19,8,,1994-06-01,233.0,,1,1,33.0,http://www.spec.org/cpu95/results/res9509/p021.html,64,2.85,164,3.3,3.3
157,3,29,,47,16,22,23,8,,1994-06-01,266.0,,1,1,33.0,http://www.spec.org/cpu95/results/res96q1/cpu95-960205-00293.html,64,2.85,164,3.3,3.3
158,3,29,,47,16,22,23,8,,1994-06-01,275.0,,1,1,33.0,http://www.spec.org/cpu95/results/res9509/p017.html,64,2.85,164,3.3,3.3
159,3,29,,47,16,22,1,8,,1994-06-01,300.0,,1,1,33.0,Horowitz spreadsheet,64,2.85,164,3.3,3.3
160,3,30,,48,,18,21,,,1995-09-01,231.0,,1,1,23.0,http://performance.netlib.org/performance/html/spec.dvme230i.cint92.12_95.notes.html#{Digital Equipment Corporation Digital AXPvme230 231Mhz 21066A},64,1.8,161,3.3,3.3
